ObjectID,Precipitation,SoilProductivity,Population,ForestCover,TreeGain,TreeLoss,ProtectionLevel,Elevation,Friction,PercentPoverty,Slope,Shape_Length,Shape_Area
617,845.7058824,400.0643522,69.375,63.26302521,0.008403361,0.115966387,0,5.278151261,39.43789959,80.25117647,1.974177572,0.037856,8.96E-05
618,1726.764706,78.2032872,70,85.44204152,0,0.008650519,0,216.4818339,3146.543002,56,11.84748906,0.037856,8.96E-05
619,2050,87.11851211,66.88607595,88.84256055,0,0.425605536,2.841695502,1000.577855,4522.259325,60.74013841,22.16432651,0.037856,8.96E-05
620,1625.282974,269.7529644,68.46530612,22.72541966,0.019184652,0,0,26.59832134,574.047276,48.09535452,6.126021035,0.034671776,6.36E-05
621,1826,90.56302521,69.24852071,86.3789916,0,0.057142857,0,255.3781513,3930.787781,45.4,14.19294309,0.037856,8.96E-05
622,1824,123.2454308,70,49.19031142,0.033737024,0.025951557,0,188.682526,178.8297126,41.4,5.923299306,0.037856,8.96E-05
623,1669.657143,62.30040816,67.21485411,47.14040816,0,0.009795918,0,369.7493878,2238.401202,52,16.57858893,0.037856,8.96E-05
624,2050,65.09688581,70,90.38754325,0,0.675605536,2.958477509,672.200692,2766.473519,64.09342561,21.87588112,0.037856,8.96E-05
625,1719,87.11257696,69.35,60.33128295,0.01142355,0.005272408,0,53.56063269,1029.522284,40.57899824,12.85100088,0.037081762,8.79E-05
626,945,403.2666016,70,4.249134948,0.064013841,0.034602076,0,31.41782007,9.611104971,65.36782007,2.247953424,0.037856,8.96E-05
627,2331,128.4411765,70.02884615,75.3200692,0.00432526,0.089100346,0,410.7318339,1328.322834,48.1,11.73798877,0.037856,8.96E-05
628,1900,101.9594828,70,69.31092437,0,0.058823529,0,268.9478992,2511.43804,62.94789916,11.87973396,0.037856,8.96E-05
629,2117,48.79238754,69.16455696,50.6816609,0.012975779,0.028546713,0,167.2448097,409.6756555,46.30077855,7.891876878,0.037856,8.96E-05
630,1391,386.7599591,95.46641791,11.05065666,0.000938086,0.033771107,0,4.051594747,8.726843601,61.8,1.594600662,0.036642991,8.29E-05
631,1968.617647,79.17815126,70,68.85630252,0,0.020168067,0,595.6487395,1505.409029,46.27773109,17.8110433,0.037856,8.96E-05
632,1551,210.9816176,68.83018868,72.23109244,0.000840336,0.042857143,2.560504202,17.13193277,183.0032826,49.8,4.321762316,0.037856,8.96E-05
633,1413,291.7525952,70,27.31055363,0,0.046712803,0,178.800173,663.2795194,57.25640138,7.538647288,0.037856,8.96E-05
634,2032.294118,101.899654,69.25517241,70.34775087,0,0.21799308,0,749.4982699,3526.350881,55.35934256,18.56593805,0.037856,8.96E-05
635,1942.647059,,0,97.59602076,0,0.016435986,3,239.4558824,4366.045317,49.1,10.25620026,0.037856,8.96E-05
636,1232,189.0752595,51.85714286,45.15051903,0.019896194,0.147923875,0,210.4480969,1040.050709,46.4,11.71516383,0.037856,8.96E-05
637,939,289.9543677,184.2880845,13.82785467,0.000865052,0.001730104,0.285467128,28.23010381,195.7027127,58.5,4.840331929,0.037856,8.96E-05
638,859,437.7404844,70,0.147923875,0,0.001730104,0,9.264705882,8.031088421,45.9,1.924901403,0.037856,8.96E-05
639,1857.294118,58.16782007,62.29850746,80.08823529,0,0.430795848,0,431.2647059,665.5218369,53.1,13.13977294,0.037856,8.96E-05
640,1787,76.77816291,71.46985447,49.39619377,0.002595156,0.057958478,0,81.81401384,615.8855701,17.9100346,9.049646531,0.037856,8.96E-05
641,1573.705882,,243.7466428,0.974048443,0,0.00432526,0,6.049307958,6.617969975,60.71275465,1.731527797,0.037856,8.96E-05
642,1805,101.0804498,68.74157303,71.97577855,0.002595156,0.099480969,0,108.3096886,510.2122063,42.30640138,7.593259635,0.037856,8.96E-05
