Forest Cover,Z-Score,P-Value,Spot Type
59.7975778547,0.28504859826216516,0.7756069096127177,1
60.9437716263,0.3229969833733622,0.7466975266476769,1
37.321799308,-0.459083433421747,0.6461742528108613,-1
26.3460207612,-0.8224714411996651,0.4108086340670093,-1
41.1859861592,-0.33114725508580667,0.7405332588884443,-1
6.17214532872,-1.4903916594611875,0.13612128427007605,-1
57.4602076125,0.2076625329246786,0.8354924742857799,1
86.0648788927,1.154711023866094,0.24820878366148535,1
45.2724913495,-0.195850522052669,0.8447271648536788,-1
64.330449827,0.4351237212707919,0.6634726260479664,1
79.7015570934,0.9440330458404176,0.34515276167031694,1
78.1831932773,0.893762789396922,0.37144882233644083,1
42.4783737024,-0.2883586608555259,0.7730722082046797,-1
48.2032871972,-0.09881721733006209,0.9212833979497185,-1
55.7352941176,0.1505537933643578,0.8803277133569356,1
2.18252595156,-1.6224806799417468,0.10470046657140773,-1
59.1634948097,0.26405526521468986,0.7917373339660267,1
81.1444636678,0.9918050506458304,0.3212926334210954,1
31.5198961938,-0.651173862815872,0.5149342605017388,-1
86.2612456747,1.1612123698435555,0.24555554552877645,1
93.1583044983,1.3895614072032632,0.16466210174745066,1
74.8607266436,0.7837619793604576,0.4331797871280886,1
54.5363321799,0.11085835052314087,0.9117286734270877,1
81.3589965398,0.9989078427281001,0.31783933666009434,1
97.0743944637,1.519216002978676,0.12870813447087798,1
8.98442906574,-1.3972820745561705,0.16232876408189723,-1
96.651384083,1.5052109008479695,0.13226986347647,1
9.05230496454,-1.3950348273530775,0.1630053374660112,-1
34.0095155709,-0.5687471063254692,0.569527774788824,-1
38.4359861592,-0.42219473906411875,0.6728828812022765,-1
96.9662629758,1.515635966646994,0.12961142727790914,1
16.2673010381,-1.156159467567245,0.24761593549536287,-1
20.0164359862,-1.032032447887367,0.3020569172019031,-1
63.2179930796,0.3982923074942587,0.690414730164679,1
30.5250865052,-0.6841101970647003,0.4939055832872601,-1
97.0925605536,1.5198174490801737,0.12855686239366224,1
83.6539792388,1.0748905338254477,0.28242374059547504,1
53.7863321799,0.08602721852905576,0.9314447801705521,1
63.0899653979,0.3940535444766729,0.6935415079355962,1
67.1260504202,0.5276809577141146,0.5977207920750505,1
50.5363321799,-0.021574353445313055,0.9827874917551868,-1
81.0475778547,0.9885973380945765,0.32286018910763026,1
91.9524221453,1.3496368420343554,0.17713250039780104,1
7.2223183391,-1.4556223466113587,0.14549704704013772,-1
94.8589965398,1.445868218621632,0.1482141675078836,1
79.0666089965,0.9230110725023948,0.3560014350464449,1
94.4948096886,1.4338106562580888,0.15162630317414674,1
0.888408304498,-1.6653265547551754,0.09584762343637306,-1
0.00951557093426,-1.6944250900561932,0.09018453517158068,-1
27.7006920415,-0.777620746040031,0.4367926269605408,-1
65.3849480969,0.4700362355740206,0.6383291292561377,1
91.4844290657,1.3341424447918673,0.18215717772914208,1
33.910899654,-0.5720120994578182,0.5673137776072164,-1
5.0225498699,-1.5284526682315345,0.1264001866902265,-1
27.721455458,-0.7769333071923514,0.4371981191971991,-1
61.7595155709,0.3500047774556799,0.726335112263506,1
33.115916955,-0.5983325265669953,0.5496180774274466,-1
31.6678200692,-0.6462763731156933,0.5181003863068632,-1
37.3780276817,-0.45722181452953725,0.6475116202730181,-1
46.7465397924,-0.147047466784235,0.8830945544332036,-1
38.1790657439,-0.43070090538983813,0.6666858604120389,-1
37.6686851211,-0.44759867687246496,0.6544428582301565,-1
33.865916955,-0.5735013945729103,0.5663052551253631,-1
66.0242214533,0.49120141036478077,0.6232840015290846,1
53.0933940774,0.06308530187984455,0.9496985783855464,1
87.3477508651,1.1971845749036631,0.23123462074874912,1
5.83996539792,-1.5013895310711618,0.13325484005420601,-1
13.5051903114,-1.2476079156165332,0.2121746782642382,-1
36.7470588235,-0.4781120425323657,0.6325704612845794,-1
1.1660899654,-1.6561330214562497,0.09769488343360441,-1
26.2692307692,-0.8250138177692341,0.4093637459341596,-1
84.8174740484,1.113411724747595,0.2655316417071163,1
75.9757785467,0.8206793140086333,0.4118289566575092,1
79.8252595156,0.9481286074052658,0.3430639862918179,1
60.187716263,0.2979653693454445,0.7657295949802729,1
42.3722689076,-0.2918715970753713,0.7703848006353312,-1
55.1721453287,0.13190896415171102,0.8950562982220075,1
31.2733564014,-0.6593363456517103,0.509679807913594,-1
17.9071428571,-1.1018672960245657,0.270519368351147,-1
49.0537815126,-0.07065890185550686,0.9436692306096699,-1
76.3680672269,0.8336672766724086,0.4044685029409324,1
75.9264705882,0.8190468174408035,0.41275970287278674,1
